age,mean,sigma
73.7,4.229658,0.165856
73.8,4.219266,0.165335
73.9,4.208095,0.164825
74,4.195484,0.164482
74.1,4.181293,0.16427
74.2,4.165568,0.164048
74.3,4.148724,0.163839
74.4,4.131219,0.163432
74.5,4.112655,0.162809
74.6,4.092933,0.161987
74.7,4.07256,0.161063
74.8,4.052001,0.159941
74.9,4.031736,0.158665
75,4.01277,0.157188
75.1,3.99561,0.155496
75.2,3.980803,0.153596
75.3,3.968456,0.151666
75.4,3.957645,0.149743
75.5,3.949942,0.147759
75.6,3.945655,0.145982
75.7,3.944198,0.144241
75.8,3.945502,0.142719
75.9,3.948276,0.141263
76,3.953446,0.140016
76.1,3.960727,0.138999
76.2,3.969359,0.138038
76.3,3.9793,0.137104
76.4,3.990157,0.136022
76.5,4.002068,0.13489
76.6,4.014946,0.133613
76.7,4.028182,0.132068
76.8,4.040999,0.130224
76.9,4.053596,0.128253
77,4.065017,0.126171
77.1,4.074978,0.124202
77.2,4.083632,0.122272
77.3,4.090813,0.120489
77.4,4.096416,0.118771
77.5,4.099878,0.117339
77.6,4.101353,0.116491
77.7,4.100773,0.115986
77.8,4.098699,0.115806
77.9,4.095982,0.115788
78,4.092331,0.115994
78.1,4.087695,0.116331
78.2,4.082661,0.116754
78.3,4.077528,0.117264
78.4,4.072184,0.117739
78.5,4.066917,0.118262
78.6,4.062083,0.118666
78.7,4.057346,0.119022
78.8,4.052589,0.119301
78.9,4.0482,0.119551
79,4.043714,0.119804
79.1,4.039173,0.120016
79.2,4.034874,0.120242
79.3,4.030381,0.120539
79.4,4.02584,0.120767
79.5,4.021306,0.121096
79.6,4.016576,0.121575
79.7,4.011865,0.121992
79.8,4.007113,0.122329
79.9,4.002366,0.122551
80,3.997713,0.122847
80.1,3.992891,0.123252
80.2,3.987566,0.123611
80.3,3.982051,0.12397
80.4,3.976263,0.12418
80.5,3.969924,0.124404
80.6,3.963173,0.12463
80.7,3.956387,0.124877
80.8,3.949484,0.125136
80.9,3.942402,0.125299
81,3.934957,0.125622
81.1,3.927106,0.126074
81.2,3.919144,0.126445
81.3,3.911102,0.126841
81.4,3.902998,0.127148
81.5,3.89492,0.127321
81.6,3.886899,0.127485
81.7,3.878763,0.127604
81.8,3.870588,0.127563
81.9,3.862658,0.127355
82,3.855006,0.12705
82.1,3.847501,0.126768
82.2,3.840379,0.126599
82.3,3.833488,0.1266
82.4,3.826744,0.126592
82.5,3.820163,0.126774
82.6,3.813985,0.127151
82.7,3.807623,0.127586
82.8,3.801244,0.128103
82.9,3.794788,0.128559
83,3.788286,0.129048
83.1,3.781441,0.129656
83.2,3.774647,0.130304
83.3,3.767796,0.130884
83.4,3.760639,0.131334
83.5,3.753246,0.131783
83.6,3.74561,0.132216
83.7,3.737675,0.132635
83.8,3.729476,0.133065
83.9,3.721278,0.133298
84,3.712861,0.133345
84.1,3.70481,0.133189
84.2,3.696857,0.132892
84.3,3.689225,0.132593
84.4,3.682074,0.132104
84.5,3.676264,0.131533
84.6,3.671606,0.130945
84.7,3.668163,0.130179
84.8,3.665861,0.129446
84.9,3.664239,0.128686
85,3.664224,0.128091
85.1,3.665409,0.127707
85.2,3.66833,0.127467
85.3,3.672753,0.127391
85.4,3.678471,0.127357
85.5,3.686077,0.127583
85.6,3.696198,0.127923
85.7,3.707971,0.128362
85.8,3.721821,0.128736
85.9,3.736706,0.129051
86,3.753408,0.129539
86.1,3.772465,0.130037
86.2,3.792661,0.130461
86.3,3.813918,0.130904
86.4,3.835424,0.131192
86.5,3.856823,0.131263
86.6,3.878017,0.131236
86.7,3.898897,0.131239
86.8,3.919386,0.131329
86.9,3.939619,0.13141
87,3.958996,0.131681
87.1,3.977567,0.132218
87.2,3.995539,0.13293
87.3,4.012869,0.133778
87.4,4.029996,0.134611
87.5,4.046815,0.135474
87.6,4.063256,0.136285
87.7,4.079498,0.137021
87.8,4.09531,0.13772
87.9,4.11052,0.138161
88,4.124904,0.138413
88.1,4.137901,0.138309
88.2,4.149935,0.138107
88.3,4.16083,0.137806
88.4,4.170979,0.137327
88.5,4.179914,0.136756
88.6,4.186508,0.136032
88.7,4.191294,0.135314
88.8,4.194762,0.134726
88.9,4.197262,0.134168
89,4.19809,0.13384
89.1,4.197359,0.133749
89.2,4.194989,0.133834
89.3,4.190859,0.133967
89.4,4.185848,0.134025
89.5,4.179472,0.134067
89.6,4.171959,0.134045
89.7,4.163653,0.133861
89.8,4.154477,0.133612
89.9,4.145025,0.133273
90,4.134891,0.13281
90.1,4.124767,0.1324
90.2,4.114632,0.131882
90.3,4.10423,0.131295
90.4,4.093806,0.130535
90.5,4.083282,0.129654
90.6,4.072818,0.128809
90.7,4.062699,0.127937
90.8,4.052997,0.126944
90.9,4.043536,0.125867
91,4.034359,0.124901
91.1,4.025471,0.123946
91.2,4.016926,0.12296
91.3,4.008756,0.122014
91.4,4.000532,0.121056
91.5,3.992676,0.120305
91.6,3.984829,0.119694
91.7,3.977071,0.119201
91.8,3.969527,0.118824
91.9,3.962198,0.118311
92,3.955341,0.117697
92.1,3.949344,0.116989
92.2,3.943986,0.11627
92.3,3.939298,0.115551
92.4,3.935205,0.114769
92.5,3.932261,0.114007
92.6,3.930176,0.113389
